date,fund,company,ticker,cusip,shares,"market value($)",weight(%)
2021-01-25,ARKK,"TESLA INC",TSLA,88160R101,2601069.00,2291021575.20,9.44
2021-01-25,ARKK,"ROKU INC",ROKU,77543R102,4204266.00,1793708046.24,7.39
2021-01-25,ARKK,"TELADOC HEALTH INC",TDOC,87918A105,4516409.00,1296615859.81,5.34
2021-01-25,ARKK,"CRISPR THERAPEUTICS AG",CRSP,H17182108,6070635.00,1100241887.40,4.53
2021-01-25,ARKK,"SQUARE INC - A",SQ,852234103,4987429.00,1080476618.56,4.45
2021-01-25,ARKK,"INVITAE CORP",NVTA,46185L103,17456809.00,911769134.07,3.76
2021-01-25,ARKK,"ZILLOW GROUP INC - C",Z,98954M200,4896994.00,719172538.84,2.96
2021-01-25,ARKK,"BAIDU INC - SPON ADR",BIDU,056752108,2729573.00,695686270.51,2.87
2021-01-25,ARKK,"SPOTIFY TECHNOLOGY SA",SPOT,L8681T102,1983300.00,661648713.00,2.73
2021-01-25,ARKK,"PROTO LABS INC",PRLB,743713109,3157475.00,656344328.25,2.70
2021-01-25,ARKK,"TENCENT HOLDINGS LTD-UNS ADR",TCEHY,88032Q109,5926441.00,568938336.00,2.34
2021-01-25,ARKK,"SHOPIFY INC - CLASS A",SHOP,82509L107,450307.00,543034217.44,2.24
2021-01-25,ARKK,"TWIST BIOSCIENCE CORP",TWST,90184D100,2901821.00,539854778.84,2.22
2021-01-25,ARKK,"PAYPAL HOLDINGS INC",PYPL,70450Y103,2159433.00,534999525.75,2.20
2021-01-25,ARKK,"EXACT SCIENCES CORP",EXAS,30063P105,3385829.00,521180657.97,2.15
2021-01-25,ARKK,"PURE STORAGE INC - CLASS A",PSTG,74624M102,22255488.00,517217541.12,2.13
2021-01-25,ARKK,"TWILIO INC - A",TWLO,90138F102,1331366.00,505919080.00,2.08
2021-01-25,ARKK,"ZOOM VIDEO COMMUNICATIONS-A",ZM,98980L101,1275627.00,499828927.41,2.06
2021-01-25,ARKK,"TAIWAN SEMICONDUCTOR-SP ADR",TSM,874039100,3723171.00,485948278.92,2.00
2021-01-25,ARKK,"IOVANCE BIOTHERAPEUTICS INC",IOVA,462260100,10042069.00,467056629.19,1.92
2021-01-25,ARKK,"DOCUSIGN INC",DOCU,256163106,1893067.00,462665574.80,1.91
2021-01-25,ARKK,"INTELLIA THERAPEUTICS INC",NTLA,45826J105,6456860.00,461019804.00,1.90
2021-01-25,ARKK,"EDITAS MEDICINE INC",EDIT,28106W103,6655763.00,435752803.61,1.79
2021-01-25,ARKK,"MATERIALISE NV-ADR",MTLS,57667T100,6006937.00,411234907.02,1.69
2021-01-25,ARKK,"LENDINGTREE INC","TREE UW",52603B107,1224240.00,401562962.40,1.65
2021-01-25,ARKK,"PAGERDUTY INC",PD,69553P100,7552637.00,362904207.85,1.49
2021-01-25,ARKK,"KE HOLDINGS INC",BEKE,482497104,5050347.00,357564567.60,1.47
2021-01-25,ARKK,"2U INC",TWOU,90214J101,8055366.00,348072364.86,1.43
2021-01-25,ARKK,"INTERCONTINENTAL EXCHANGE IN",ICE,45866F104,3020338.00,339667211.48,1.40
2021-01-25,ARKK,"NINTENDO CO LTD-UNSPONS ADR",NTDOY,654445303,3861846.00,293500296.00,1.21
2021-01-25,ARKK,"SEA LTD-ADR",SE,81141R100,1255161.00,287030217.48,1.18
2021-01-25,ARKK,"STRATASYS LTD",SSYS,M85548101,7049806.00,281992240.00,1.16
2021-01-25,ARKK,"UNITY SOFTWARE INC",U,91332U101,1816449.00,275246516.97,1.13
2021-01-25,ARKK,"IRIDIUM COMMUNICATIONS INC",IRDM,46269C102,5497654.00,269385046.00,1.11
2021-01-25,ARKK,"VERACYTE INC",VCYT,92337F107,4841473.00,268120774.74,1.10
2021-01-25,ARKK,"10X GENOMICS INC-CLASS A",TXG,88025U109,1437226.00,263371664.50,1.08
2021-01-25,ARKK,"PACIFIC BIOSCIENCES OF CALIF",PACB,69404D108,7257224.00,260897202.80,1.07
2021-01-25,ARKK,"REGENERON PHARMACEUTICALS",REGN,75886F107,474278.00,259999199.60,1.07
2021-01-25,ARKK,"PINTEREST INC- CLASS A",PINS,72352L106,3207369.00,235324663.53,0.97
2021-01-25,ARKK,"SYNOPSYS INC",SNPS,871607107,858942.00,231596531.46,0.95
2021-01-25,ARKK,"SPLUNK INC",SPLK,848637104,1225825.00,210731575.75,0.87
2021-01-25,ARKK,"SERES THERAPEUTICS INC",MCRB,81750R102,8038025.00,199664541.00,0.82
2021-01-25,ARKK,"HUYA INC-ADR",HUYA,44852D108,6879589.00,171920929.11,0.71
2021-01-25,ARKK,"CERUS CORP",CERS,157085101,19063301.00,138780831.28,0.57
2021-01-25,ARKK,"MORGAN STANLEY GOVT INSTL 8035",,X9USDMORS,133090479.41,133090479.41,0.55
2021-01-25,ARKK,"NANOSTRING TECHNOLOGIES INC",NSTG,63009R109,1654979.00,127483032.37,0.53
2021-01-25,ARKK,"COMPUGEN LTD",CGEN,M25722105,10029658.00,126875173.70,0.52
2021-01-25,ARKK,"NOVARTIS AG-SPONSORED ADR",NVS,66987V109,1242436.00,122342672.92,0.50
2021-01-25,ARKK,"SYROS PHARMACEUTICALS INC",SYRS,87184Q107,5056505.00,61790491.10,0.25
2021-01-25,ARKK,"PACCAR INC",PCAR,693718108,542683.00,53147659.61,0.22
2021-01-25,ARKK,"FATE THERAPEUTICS INC",FATE,31189P102,284314.00,27333947.96,0.11
2021-01-25,ARKK,"ORGANOVO HOLDINGS INC","ONVO ",68620A203,513313.00,7407106.59,0.03
